salary,company,jobname,jobcont,jobid
15000-25000/月,UC优视（UC浏览器）,UC头条高级运营经理,职位描述：岗位描述:1、优质内容大项目策划、落地执行。2、善于总结UC信息流、UC头条独立客户端内文章和视频类所有内容的纠察和人工运营不当反馈；3、善于总结针对指定周期内大型活动及热点事件，输出竞品分析；4、负责协调支持GR相关的业务需求，定期输出业务汇报报告；5、其他上级安排的行政工作事务。岗位要求:1、本科及以上学历，5年以上媒体从业经验；从事互联网内容运营2年以上工作经验者优先；2、有较强的沟通、协调及创新能力，有宣传运营管理经验者优先；3、有一定的亲和力，性格开朗；善于理解、领悟并转化为执行力；4、学习能力强、服务意识佳、工作效率高，有较强工作热情及抗压能力。职能类别：其他举报分享,21
30-40万/年,UC优视（UC浏览器）,Java高级工程师,职位描述：岗位描述：1、负责游戏门户、游戏社区、交易平台、支付等平台产品的研发工作；2、负责提供多系统复杂环境下技术难题解决方案并推进实施；3、负责系统、子系统和模块级的架构设计、概要设计工作；4、承担并推动团队内成员技术经验分享。岗位要求：1、计算机等相关专业本科及以上学历，3-5年以上相关岗位工作经验；2、精通架构设计、概要设计和详细设计，熟练使用UML设计工具；3、有技术难题攻关经验，善于主动推动项目进展并达成项目目标；4、精通Java、MySQL；熟悉UNIX/Linux编程环境，常用编程/调试工具；5、熟悉Web开发，有大型网站设计开发、大访问量业务开发的经验者优先；职能类别：高级软件工程师软件工程师举报分享,16
15-20万/年,UC优视（UC浏览器）,前端高级工程师,"职位描述：岗位描述：1.负责UC九游的前端页面重构、JS功能开发与交互实现；岗位要求：1. 3年以上 Web 前端工作经验，熟练掌握Html,css,Javascript，有移动web开发经验优先考虑；2. 精通css,js对各浏览器兼容，熟悉浏览器性能优化；3. 熟练使用主流的JavaScript库或框架（Zepto,Jquery,SeaJs,RequestJ等），并精通其中的一种以上；4. 熟悉前端自动化工程；5. 至少熟悉一门后端语言（如php,java,node）；6. 有强烈的求知欲，善于学习和运用新知识；善于学习、总结，乐于分享； 善于沟通和逻辑表达，良好的团队合作精神和积极主动的沟通意识；职能类别：软件工程师高级软件工程师举报分享",18
8元/小时,UC优视（UC浏览器）,U客服（交易猫）,职位描述：岗位要求：1、有交易猫账号，体验过交易猫网站账号买卖交易流程的优先。2、大专以上学历。3、有充足灵活的业余***时间4、耐心、细心并有良好的服务意识与服务态度5、打字速度在60字/分以上岗位工作内容：1、负责回复用户在使用交易猫过程中的咨询、投诉、建议，确保信息传递的准确性和及时性，保证客户的满意度；2、准确记录用户信息，按照规定的流程、标准正确记录用户的需求和建议；3、灵活应对服务中出现的异常问题，并及时向相关人员及时反馈4、以公司利益为重，积极努力维护公司形象，遵守岗位规章制度，传播积极正能量。只要你有闲暇时间，都可以加入我们！此岗位属于***，薪酬8元/小时，工资按上班时长月结，岗前线上视频培训，无需坐班，在家办公，有意向者可将简历命名为u客服（交易猫）+姓名，投递至邮箱职能类别：兼职举报分享,15
8元/小时,UC优视（UC浏览器）,阿里巴巴移动事业群U客服,职位描述：岗位要求：1、有交易猫账号，体验过交易猫网站账号买卖交易流程的优先。2、大专以上学历。3、有充足灵活的业余***时间4、耐心、细心并有良好的服务意识与服务态度5、打字速度在60字/分以上岗位工作内容：1、负责回复用户在使用交易猫过程中的咨询、投诉、建议，确保信息传递的准确性和及时性，保证客户的满意度；2、准确记录用户信息，按照规定的流程、标准正确记录用户的需求和建议；3、灵活应对服务中出现的异常问题，并及时向相关人员及时反馈4、以公司利益为重，积极努力维护公司形象，遵守岗位规章制度，传播积极正能量。只要你有闲暇时间，都可以加入我们！此岗位属于***，薪酬8元/小时，工资按上班时长月结，岗前线上视频培训，无需坐班，在家办公，有意向者请直接点击下面链接进行报名https://feedback.uc.cn/feedback/feedback/index?instance=u_jym&pfid=145&uc_param_str=einibicppfmivefrlantcunwsssvjbktchnnsnddds#index职能类别：兼职举报分享,22
10000-14999/月,UC优视（UC浏览器）,游戏赛事策划,职位描述：1、线上活动策划和赛事方案制定，并跟进赛事执行;2、与策划进行沟通，分析各阶段项目核心卖点和制定推广方案;3、搜集竞争对手信息和制定对应方案;4、制定工作计划，协调相关人员的工作和定期进行总结汇报。任职资格：1、大学本科及以上学历，三以上相关岗位网络游戏运营工作经验，独立策划过网络游戏大型活动;2、热爱FTG类游戏，参与过赛事类活动并组织过游戏比赛活动;3、能够对游戏产品的包装和产品运营提供辅助性意见;4、具备法律、传媒等相关专业知识;5、有各类用户资源职能类别：网站营运专员其他举报分享,14
5000-8000/月,UC优视（UC浏览器）,电竞赛事主播,职位描述：岗位描述：1.热爱游戏，有较丰富的游戏（端游、手游）经验。对直播行业的优先2.思维活跃，具有较快的反应能力与沟通能力，具有良好的团队合作意识；3.个人形象气质佳，视频画面舞台感好者、有一定才艺并善于表现自己者，优先考虑。岗位要求：1.在官方直播间进行官方游戏直播活动，进行游戏推广2.参与官方节目直播以及活动视频录制，产生优质直播内容。3.参与直播活动的策划与执行。请附上照片及相关视频链接或作品【重要】关注“UC招聘”微信公众号，为心仪的岗位助力！阿里移动事业群招聘动态，实时掌握！阿里移动事业群应聘疑难杂症，一扫便知！（UC招聘 微信号： ucjobs）职能类别：其他举报分享,13
4000-8000/月,UC优视（UC浏览器）,游戏论坛运营,职位描述：岗位描述：1.抓住游戏用户话题热点、大事件进行话题炒作及话题制造。2.进行论坛活动策划，活跃论坛气氛，调动用户的积极性。3.招收游戏内意见领袖，草根大V。4.编辑游戏攻略，新游评测等内容。岗位要求：1、熟悉各类游戏论坛用户需求，较强的感知、抓取市场热点话题，大事件的能力2、有管理社区、论坛、贴吧等相关工作的经验3、执行力强，拥有自己独特的工作方式，能够较好的完成相关工作4、拥有各种论坛推广手法，能够更多的引导外部用户成为自己论坛用户5、拥有良好的沟通技巧、创新的运营思维。6、拥有一定的文字编辑能力以及图片编辑能力。关注“UC招聘”微信公众号，为心仪的岗位助力！阿里移动事业群招聘动态，实时掌握！阿里移动事业群应聘疑难杂症，一扫便知！（UC招聘 微信号： ucjobs）职能类别：网站营运专员举报分享,11
3000-20000/月,UC优视（UC浏览器）,手游推广员,职位描述：岗位职责：1、负责手机网游的公会渠道推广工作，并维护渠道关系；2、负责渠道数据分析，总结归纳业务问题，及时调整运营策略和推动产品改进；3、负责分析行业信息和公会、网盟渠道动态，及时优化渠道策略；4、合同跟进、渠道结算等日常工作协助；5、能力业绩优秀者有成为团队管理者机会；任职要求：1、热爱游戏，熟悉游戏渠道的推广方式，有公会、网盟等渠道资源和推广经验者优先；2、具备良好的渠道运营维护能力，有良好的沟通表达能力和谈判技巧者优先；3、性格开朗、较强的亲和力、渴望成功，吃苦耐劳；4、工作积极主动，喜欢挑战，能适应不定期加班，能承受一定的工作压力；5、较强的团队协作和跨部门沟通能力；6、薪资有较大提成范围和空间。关注“UC招聘”微信公众号，为心仪的岗位助力！阿里移动事业群招聘动态，实时掌握！阿里移动事业群应聘疑难杂症，一扫便知！（UC招聘 微信号： ucjobs）职能类别：网络推广专员举报分享,9
7000-9000/月,UC优视（UC浏览器）,国际产品运营专员,职位描述：岗位描述：1、负责以资讯为主的内容产品设计与运营2、研究用户偏好，协助精准推荐系统的搭建3、负责国际浏览器导航内容运营，协助达成产品、品牌目标岗位要求:1、本科以上学历，英语沟通表达能力强，懂越南语优先考虑2、了解内容运营方法，善于捕捉热点和把握用户偏好，一年以上产品运营相关工作经验3、对数据敏感，有较强的数据分析能力，能从繁杂的用户数据中发现并解决问题4、抗压能力强，表达能力强，推动能力强，有丰富的团队协作经验职能类别：产品专员举报分享,49
