高级开发工程师（运维工具开发）,10001-15000,唯品会(中国)有限公司 ,广州,...python语言，cmdb系统者优先；      4. 熟悉Java EE相关技术，对框架有深入理解（包括Java语言/Struts/Spring/iBatis/hibernet等），熟悉常用java应用服务器；      5.  熟悉mysql数据库，能熟练运用sql语言，sq...
资深Java工程师,15001-20000,唯品会(中国)有限公司 ,广州,...Python的可以加分。   如果具备以下经验，会优先考虑： 1、千万级别会员级别网站解决方案优先； 2、高访问量、大并发系统重构经验优先；
高级数据仓库工程师,10001-15000,广东微媒天创新科技有限公司,广州 - 海珠区,...python) 4、熟练使用kettle，了解日常作业的部署和调度
广州中、高级软件测试工程师,10001-15000,广州碧软信息科技有限公司,广州,...Python/PHP等常用脚本语言中的一种或多种，熟练编写测试脚本；  9、有中型平台或电商测试经验；具备移动app测试经验优先；     公司相关福利待遇：   1、购买五险一金。   2、一入职公司会给你购买商业意外险（个人不需花钱，公司全额购买）   3、工作满一年后将提薪...
系统运维工程师,6001-8000,广州市卓为信息技术有限公司,广州 - 天河区,...python、perl、shell等一种以上脚本语言；      4、对服务器硬件、VMware虚拟化、Oracle数据库有一定了解；      5、有综合监控系统运维管理工作经验者优先；      6、具有较强的沟通协调能力，能独立分析、解决问题，有较强的责任心。
数据库维护管理工程师,面议,广州市研讯信息技术有限公司,广州 - 越秀区,工作职责：  1.负责数据库服务器及相关设备的日常维护工作。  2.负责业务系统和数据库的故障分析处理，及相关监控，预警工作。  3.负责业务系统服务器的数据提取与分析，包括材料总结、周报、月报等。     任职要求：  1、大专以上学历，计算机相关专业。  2、熟悉linux服务器常用命令，熟悉...
中高级运维（系统）工程师,面议,广东康爱多连锁药店有限公司,广州,...Python/Perl 中一种脚本语言，能根据运维需求快速开发相应脚本和自动工具； 4、熟悉常用集群服务(LVS、KEEPALIVED、HAPROXY)的搭建、维护和优化，以及问题处理； 5、熟悉MySql、redis和mongodb数据库的配置、管理和优化； 6、了解Linux...
服务器运维工程师,面议,广东康爱多连锁药店有限公司,广州,...Python/Perl 中一种脚本语言，能根据运维需求快速开发相应脚本和自动工具；  4.熟悉常用集群服务(LVS、KEEPALIVED、HAPROXY)的搭建、维护和优化，以及问题处理；  5.熟悉MySql、redis和mongodb数据库的配置、管理和优化；  6.了解Li...
测试工程师,4001-6000,广州金越软件技术有限公司,广州 - 天河区,岗位职责： 1、配合测试主管编制软件测试方案及测试计划；  2、负责公司主要产品的测试；  3、独立完成软件项目测试并撰写测试报告。     任职要求：  1、大学专科或以上学历，热爱软件测试  2、熟悉数据库，熟悉Java、Javascript、Python和Perl等常见开发语言...
WEB服务器开发工程师（某项大型安防科技公司）,面议,广州市柏纳管理顾问有限公司,广州,岗位职责： 1. 负责web服务器前后台的开发和维护 2. 负责数据库结构的设计和优化  职位要求：  1. 大专以上学历，二年以上相关工期经验，精通PHP、MYSQL； 2. 熟悉HTTP协议，熟悉Linux/Unix基本操作 3. 熟悉redis、mongoDb、python、a...
生物信息学分析工程师,8001-10000,广州真至生物科技有限公司,广州,...python语言、熟悉linux操作者优先 4.有二代测序数据处理经验者优先
